topicTitle,blockType,blockName,fileName
Sourcing Quality Management Standards Foundations E-Learning,scorm,Sourcing Quality Management Standards Foundations E-Learning,18JUN_RD_SQMS_EN.zip
Successfully Preparing for Regulatory Inspections E-Learning,scorm,Successfully Preparing for Regulatory Inspections E-Learning,C10160.zip
Digital Essentials E-learning Essential,scorm,Digital Essentials E-learning,21FEB_PA_DE_EN_V1.zip
Digital Technologies Onboarding Elearning,scorm,Digital Technologies Onboarding Elearning,17DEC_IT_ONBOARD_EN_v2.zip
Getting Started with Design Thinking E-Learning,scorm,Getting Started with Design Thinking E-Learning,805002.zip
Information Security Safeguarding the Audit System  E-Learning,scorm,"

Module 1: Mars Financials [LOW RES] E-Learning",18AUG_IT_ISSMFC_M6_ENL_V1.zip
Information Security Safeguarding the Audit System  E-Learning,scorm,Module 2: Mars Financials E-Learning,18AUG_IT_ISSMFC_M6_EN_V1.zip
Information Security: Offboarding for Line Managers E-learning,scorm,Information Security: Offboarding for Line Managers E-learning,Mars_Information_Security_Offboarding_Line_Managers_Multilanguage_04042024.zip
Introduction to Agile E-Learning,scorm,Introduction to Agile E-Learning,20FEB_DIG_IAM_EN_V1.zip
Introduction to Data and Analytics E-learning,scorm,Introduction to Data and Analytics E-learning,820000.zip
Kanban Course E-learning (Advanced),scorm,Kanban Course E-learning,C10381.zip
Mars Wrigley Digital Essentials E-LEARNING,scorm,Mars Wrigley Digital Essentials E-LEARNING,20SEP_LC_MWDE_EN.zip
Robotic Process E-learning,scorm,Robotic Process E-learning,21FEB_PA_RP_EN_V1.zip
Russian - Information Security: PCI for Credit Card Handlers E-learning,scorm,Russian - Information Security: PCI for Credit Card Handlers E-learning,pci_security_ mars_RU.zip
Программа: The Seven Magic Skills of User Centricity Module 1: Deep Empathy E-Learning,scorm,The Seven Magic Skills of User Centricity Module 1: Deep Empathy,18NOV_IT_USMS_DE_EN_V1.zip
Программа: The Seven Magic Skills of User Centricity Module 2: Sense Making E-Learning,scorm,The Seven Magic Skills of User Centricity Module 2: Sense Making,18NOV_IT_USMS_SM_EN_V1.zip
Программа: The Seven Magic Skills of User Centricity Module 3: (Re)Framing E-Learning,scorm,The Seven Magic Skills of User Centricity Module 3: (Re)Framing,18NOV_USMS_RF_EN_V1.zip
